module,strategy,run,payload_bytes,duration_s,mean_power_mW,energy_mJ,efficiency_mJ_per_KB,run_total_energy_mJ,run_mean_active_power_mW,baseline_mean_mA,baseline_std_mA
ble_nrf52,full_payload,1,1,0.741,37.4265,27.733811,28399.422121,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,2,0.546,37.4098,20.425668,10457.941908,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,4,0.545,37.4929,20.426919,5229.291176,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,8,0.543,37.3579,20.285427,2596.534596,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,16,0.518,37.3874,19.366698,1239.468659,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,32,0.546,37.544,20.497708,655.926665,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,64,0.575,37.5503,21.588152,345.41043,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,128,0.522,37.397,19.520545,156.164364,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,256,0.546,37.3946,20.417613,81.670452,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,512,0.574,37.483,21.509891,43.019781,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,1024,0.62,37.8379,23.442114,23.442114,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,2048,0.77,37.9287,29.197746,14.598873,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,4096,0.868,38.1317,33.095887,8.273972,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,8192,1.341,37.9615,50.890802,6.36135,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,16384,2.175,37.4063,81.401812,5.087613,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,32768,4.117,36.8703,151.815316,4.744229,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,65536,7.926,37.0692,293.913778,4.592403,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,131072,1.516,38.1169,57.781906,0.451421,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,262144,1.521,38.233,58.159108,0.227184,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,524288,1.518,38.1453,57.927019,0.113139,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,1,1048576,1.505,38.151,57.434525,0.056088,1106.8324,37.4778,6.28557,1.96575
ble_nrf52,full_payload,2,1,0.759,37.4861,28.451416,29134.249605,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,2,0.523,37.4999,19.612248,10041.471053,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,4,0.545,37.5457,20.47397,5241.336292,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,8,0.545,37.5355,20.459701,2618.841773,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,16,0.565,37.4876,21.182638,1355.688861,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,32,0.495,37.5023,18.561989,593.983653,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,64,0.544,37.4408,20.365645,325.850321,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,128,0.547,37.446,20.4828,163.862399,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,256,0.57,37.5975,21.42883,85.715321,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,512,0.576,37.6646,21.689924,43.379847,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,1024,0.587,37.6065,22.065959,22.065959,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,2048,0.763,37.8952,28.914148,14.457074,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,4096,0.871,38.118,33.195072,8.298768,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,8192,1.497,36.3092,54.423076,6.802885,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,16384,2.393,36.3113,86.951664,5.434479,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,32768,4.173,36.8888,153.893943,4.809186,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,65536,8.693,35.4463,307.890934,4.810796,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,131072,1.516,38.0316,57.675514,0.45059,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,262144,1.52,38.3778,58.339917,0.22789,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,524288,1.523,38.1037,58.02627,0.113333,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,2,1048576,1.521,38.24,58.174491,0.056811,1132.2601,36.8502,6.6171,0.91053
ble_nrf52,full_payload,3,1,0.737,37.4006,27.563307,28224.826291,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,2,0.552,37.4046,20.647213,10571.372867,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,4,0.53,37.3292,19.785051,5064.973014,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,8,0.554,37.4028,20.720838,2652.267299,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,16,0.515,37.4451,19.282278,1234.065772,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,32,0.558,37.483,20.915554,669.297742,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,64,0.522,37.3399,19.491113,311.857809,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,128,0.555,37.3782,20.745778,165.966222,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,256,0.516,37.4328,19.316602,77.266409,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,512,0.62,37.5945,23.297527,46.595053,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,1024,0.639,37.7451,24.109503,24.109503,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,2048,0.705,37.7492,26.618309,13.309154,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,4096,0.919,37.8103,34.770219,8.692555,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,8192,1.429,37.0696,52.984845,6.623106,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,16384,2.474,35.4823,87.815224,5.488452,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,32768,4.573,35.3036,161.475262,5.046102,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,65536,9.077,34.6075,314.126075,4.90822,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,131072,1.501,38.0851,57.167434,0.446621,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,262144,1.508,38.1115,57.497607,0.2246,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,524288,1.514,38.1679,57.781882,0.112855,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,3,1048576,1.518,38.0671,57.78406,0.05643,1143.8957,36.2957,7.25603,1.82592
ble_nrf52,full_payload,4,1,0.762,37.3972,28.495699,29179.596104,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,2,0.524,37.4723,19.633125,10052.1598,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,4,0.529,37.4154,19.783615,5064.605315,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,8,0.549,37.3332,20.496715,2623.579538,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,16,0.523,37.4008,19.559987,1251.839171,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,32,0.557,37.429,20.845476,667.055236,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,64,0.524,37.3849,19.587528,313.400451,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,128,0.56,37.3923,20.938278,167.506221,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,256,0.579,37.4327,21.66979,86.679162,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,512,0.586,37.743,22.131219,44.262438,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,1024,0.586,37.5634,22.004696,22.004696,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,2048,0.792,37.5474,29.737487,14.868744,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,4096,1.005,36.9598,37.117139,9.279285,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,8192,1.43,35.4885,50.725898,6.340737,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,16384,2.444,35.6439,87.193072,5.449567,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,32768,4.605,34.942,160.976425,5.030513,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,65536,8.889,34.873,310.027578,4.844181,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,131072,1.515,38.059,57.669102,0.45054,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,262144,1.506,38.283,57.633043,0.225129,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,524288,1.526,38.0623,58.087733,0.113453,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,4,1048576,1.509,38.1359,57.553833,0.056205,1141.8674,36.2498,7.16991,1.71569
ble_nrf52,full_payload,5,1,0.769,37.4124,28.768148,29458.583194,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,2,0.524,37.4234,19.604656,10037.584128,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,4,0.527,37.3228,19.669315,5035.344695,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,8,0.557,37.3877,20.824775,2665.571209,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,16,0.523,37.484,19.602878,1254.584169,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,32,0.555,37.4205,20.768699,664.598357,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,64,0.527,37.3662,19.691879,315.070071,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,128,0.55,37.4077,20.573108,164.584861,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,256,0.555,37.5884,20.866051,83.464203,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,512,0.559,37.5207,20.967373,41.934745,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,1024,0.672,37.6931,25.324218,25.324218,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,2048,0.707,37.6243,26.610956,13.305478,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,4096,1.031,37.1925,38.404708,9.601177,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,8192,1.373,35.7833,49.243044,6.15538,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,16384,2.388,35.9069,85.587039,5.34919,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,32768,4.7,34.8926,164.027364,5.125855,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,65536,8.984,34.8484,313.350595,4.896103,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,131072,1.515,38.1405,57.787185,0.451462,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,262144,1.517,38.0248,57.685283,0.225333,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,524288,1.514,38.0095,57.553369,0.112409,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,5,1048576,1.515,38.2147,57.899793,0.056543,1144.8104,36.2718,7.21291,1.84667
ble_nrf52,full_payload,6,1,0.768,37.4104,28.72927,29418.772838,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,2,0.528,37.5005,19.794018,10134.537093,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,4,0.528,37.3444,19.717377,5047.648616,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,8,0.556,37.3844,20.786106,2660.621505,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,16,0.553,37.4143,20.691031,1324.225996,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,32,0.526,37.4689,19.701226,630.439218,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,64,0.553,37.3813,20.67021,330.723368,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,128,0.521,37.4021,19.485194,155.881551,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,256,0.56,37.4119,20.950959,83.803837,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,512,0.552,37.3608,20.62318,41.24636,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,1024,0.64,37.4087,23.945214,23.945214,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,2048,0.711,37.8209,26.898344,13.449172,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,4096,1.032,38.1598,39.361386,9.840347,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,8192,1.393,36.8909,51.476052,6.434506,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,16384,2.417,35.9077,86.698669,5.418667,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,32768,4.755,34.5167,163.933529,5.122923,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,65536,9.043,34.6784,313.565832,4.899466,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,131072,1.516,38.1333,57.817141,0.451696,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,262144,1.52,38.238,58.077695,0.226866,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,524288,1.51,38.0738,57.498412,0.112302,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,6,1048576,1.513,38.1148,57.663238,0.056312,1148.0841,36.2229,7.25051,1.85601
ble_nrf52,full_payload,7,1,0.764,37.4395,28.602616,29289.078636,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,2,0.528,37.3599,19.72553,10099.471135,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,4,0.525,37.4431,19.657014,5032.195661,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,8,0.557,37.4872,20.881651,2672.851273,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,16,0.525,37.4012,19.63236,1256.471051,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,32,0.555,37.3572,20.733143,663.460581,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,64,0.527,37.434,19.729175,315.666801,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,128,0.554,37.3757,20.707913,165.663303,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,256,0.554,37.4758,20.765031,83.060125,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,512,0.554,37.5365,20.788939,41.577878,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,1024,0.643,37.4308,24.067823,24.067823,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,2048,0.772,37.9084,29.260263,14.630131,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,4096,0.94,37.5051,35.282055,8.820514,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,8192,1.422,36.5245,52.091053,6.511382,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,16384,2.386,35.8364,85.625089,5.351568,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,32768,4.725,34.7514,164.230481,5.132203,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,65536,8.896,34.9939,311.564414,4.868194,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,131072,1.51,38.3602,57.915181,0.452462,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,262144,1.517,38.175,57.946255,0.226353,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,524288,1.519,38.0575,57.814415,0.112919,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,7,1048576,1.511,38.0892,57.552457,0.056204,1144.5729,36.3541,7.12596,1.80322
ble_nrf52,full_payload,8,1,0.74,37.3783,27.661919,28325.804897,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,2,0.558,37.4288,20.885725,10693.491241,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,4,0.523,37.4308,19.569441,5009.776823,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,8,0.556,37.3596,20.771891,2658.801996,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,16,0.528,37.4075,19.750981,1264.062761,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,32,0.555,37.5729,20.850196,667.20626,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,64,0.522,37.478,19.561867,312.989873,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,128,0.547,37.3745,20.443186,163.545489,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,256,0.583,37.6054,21.917228,87.66891,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,512,0.532,37.4952,19.94877,39.897541,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,1024,0.612,37.5101,22.952532,22.952532,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,2048,0.794,37.981,30.141356,15.070678,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,4096,0.947,37.9317,35.952058,8.988015,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,8192,1.359,37.078,50.471785,6.308973,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,16384,2.865,33.1227,95.342838,5.958927,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,32768,4.851,34.3875,166.609471,5.206546,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,65536,9.253,34.4211,318.407004,4.975109,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,131072,1.513,38.1737,57.724905,0.450976,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,262144,1.517,38.0021,57.653899,0.225211,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,524288,1.512,38.1407,57.681763,0.11266,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,8,1048576,1.519,38.0634,57.82841,0.056473,1162.1272,35.8836,7.27166,1.75486
ble_nrf52,full_payload,9,1,0.756,37.4316,28.301774,28981.016402,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,2,0.525,37.4071,19.638058,10054.685837,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,4,0.524,37.4649,19.633475,5026.169618,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,8,0.54,37.321,20.153426,2579.638533,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,16,0.525,37.3851,19.627355,1256.150702,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,32,0.559,37.4431,20.930012,669.760397,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,64,0.519,37.5028,19.453579,311.257265,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,128,0.552,37.3341,20.611315,164.890518,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,256,0.558,37.4066,20.87184,83.48736,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,512,0.607,37.5271,22.780141,45.560281,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,1024,0.578,37.5783,21.726344,21.726344,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,2048,0.732,38.0909,27.756064,13.878032,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,4096,0.947,38.0997,36.071405,9.017851,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,8192,1.457,36.8858,53.797929,6.724741,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,16384,2.445,35.4277,86.689715,5.418107,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,32768,4.489,35.4875,159.435627,4.982363,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,65536,9.165,34.617,317.133986,4.955219,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,131072,1.51,38.1083,57.531064,0.449461,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,262144,1.516,38.0704,57.73197,0.225516,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,524288,1.515,38.1949,57.859534,0.113007,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,9,1048576,1.513,37.9547,57.43117,0.056085,1145.1658,36.3176,7.20773,1.77695
ble_nrf52,full_payload,10,1,0.763,37.3848,28.524434,29209.020319,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,2,0.527,37.3506,19.684137,10078.278144,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,4,0.526,37.5067,19.725905,5049.831663,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,8,0.546,37.517,20.477349,2621.100662,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,16,0.527,37.3299,19.671942,1259.0043,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,32,0.556,37.3796,20.783561,665.073943,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,64,0.522,37.372,19.507204,312.115267,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,128,0.557,37.4467,20.856876,166.855012,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,256,0.546,37.42,20.429973,81.719892,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,512,0.554,37.5914,20.817195,41.634391,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,1024,0.646,37.6734,24.331156,24.331156,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,2048,0.701,37.8406,26.515335,13.257667,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,4096,1.009,37.3182,37.681672,9.420418,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,8192,1.396,36.7805,51.364998,6.420625,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,16384,2.416,35.8163,86.514131,5.407133,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,32768,4.552,35.3918,161.163176,5.036349,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,65536,8.952,35.0171,313.543416,4.899116,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,131072,1.515,38.0969,57.731035,0.451024,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,262144,1.515,38.0659,57.662943,0.225246,1142.9125,36.4438,7.15763,1.73546
ble_nrf52,full_payload,10,524288,1.523,38.2749,58.297933,0.113863,1142.9125,36.4438,7.15763,1.73546
